license,source,file_count
OSL-2.1,Split-DB-Foss-Licenses,221
LiLiQ-P-1.1,Split-DB-Foss-Licenses,109
gnu-javamail-exception,Split-DB-Foss-Licenses,3
NLOD-1.0,Split-DB-Foss-Licenses,163
GFDL-1.2,Split-DB-Foss-Licenses,466
ZPL-2.0,Split-DB-Foss-Licenses,45
Imlib2,Split-DB-Foss-Licenses,20
FTL,Split-DB-Foss-Licenses,138
Ferris-1.2,Split-DB-Foss-Licenses,419
YPL-1.0,Split-DB-Foss-Licenses,148
Intel,Split-DB-Foss-Licenses,27
CC-BY-SA-3.0-AT,Split-DB-Foss-Licenses,552
CC-BY-3.0,Split-DB-Foss-Licenses,413
VIM,Split-DB-Foss-Licenses,90
GPL-3.0-with-bison-exception,Split-DB-Foss-Licenses,8
MX4J,Split-DB-Foss-Licenses,3
OLDAP-2.8,Split-DB-Foss-Licenses,37
libtiff,Split-DB-Foss-Licenses,5
CPL-0.5,Split-DB-Foss-Licenses,201
BSD-3-Clause-Clear,Split-DB-Foss-Licenses,11
NCGL-UK-2.0,Split-DB-Foss-Licenses,48
MITNFA,Split-DB-Foss-Licenses,6
WashU,Split-DB-Foss-Licenses,8
CATOSL,Split-DB-Foss-Licenses,3
Zed,Split-DB-Foss-Licenses,5
OLDAP-2.6,Split-DB-Foss-Licenses,39
OpenMarket,Split-DB-Foss-Licenses,18
CrystalStacker,Split-DB-Foss-Licenses,19
RealNetworks-EULA,Split-DB-Foss-Licenses,113
AAL,Split-DB-Foss-Licenses,26
OLDAP-2.1,Split-DB-Foss-Licenses,50
PostgreSQL,Split-DB-Foss-Licenses,8
OASIS,Split-DB-Foss-Licenses,71
ZoneAlarm-EULA,Split-DB-Foss-Licenses,510
YPL-1.1,Split-DB-Foss-Licenses,148
Parity-7.0.0,Split-DB-Foss-Licenses,72
W3C,Split-DB-Foss-Licenses,29
info-zip,Split-DB-Foss-Licenses,31
ZPL-2.1,Split-DB-Foss-Licenses,32
GFDL-1.3,Split-DB-Foss-Licenses,504
SCEA,Split-DB-Foss-Licenses,150
SISSL,Split-DB-Foss-Licenses,291
diffmark,Split-DB-Foss-Licenses,8
RPL-1.5,Split-DB-Foss-Licenses,752
CLISP-exception-2.0,Split-DB-Foss-Licenses,36
Newsletr,Split-DB-Foss-Licenses,8
Phorum-2.0,Split-DB-Foss-Licenses,29
CC-BY-ND-4.0,Split-DB-Foss-Licenses,537
NIST-PD-fallback,Split-DB-Foss-Licenses,12
LGPL-2.1+-KDE-exception,Split-DB-Foss-Licenses,6
OSL-2.0,Split-DB-Foss-Licenses,211
i2p-gpl-java-exception,Split-DB-Foss-Licenses,8
QT.Commercial,Split-DB-Foss-Licenses,399
eCos-exception-2.0,Split-DB-Foss-Licenses,4
CC-BY-ND-2.5,Split-DB-Foss-Licenses,340
CC-BY-NC-ND-1.0,Split-DB-Foss-Licenses,297
OLDAP-2.0,Split-DB-Foss-Licenses,37
GPL-2.0-with-autoconf-exception,Split-DB-Foss-Licenses,33
Freeware,Split-DB-Foss-Licenses,5
OPL-style,Split-DB-Foss-Licenses,1
OLDAP-2.7,Split-DB-Foss-Licenses,37
Intel-ACPI,Split-DB-Foss-Licenses,163
PolyForm-Small-Business-1.0.0,Split-DB-Foss-Licenses,69
NRL,Split-DB-Foss-Licenses,57
Rdisc,Split-DB-Foss-Licenses,21
Nvidia-EULA,Split-DB-Foss-Licenses,156
OpenJDK-assembly-exception-1.0,Split-DB-Foss-Licenses,14
MPL-EULA-3.0,Split-DB-Foss-Licenses,257
H2-1.0,Split-DB-Foss-Licenses,32
OGL-UK-2.0,Split-DB-Foss-Licenses,66
Bitstream,Split-DB-Foss-Licenses,161
Artistic-1.0,Split-DB-Foss-Licenses,78
CUA-OPL-1.0,Split-DB-Foss-Licenses,679
Parity-6.0.0,Split-DB-Foss-Licenses,28
LiLiQ-R-1.1,Split-DB-Foss-Licenses,150
Interbase-1.0,Split-DB-Foss-Licenses,665
LGPL,Split-DB-Foss-Licenses,3
GPL-2.0,Split-DB-Foss-Licenses,327
LPL-1.02,Split-DB-Foss-Licenses,292
SimPL-2.0,Split-DB-Foss-Licenses,40
Python-2.0.1,Split-DB-Foss-Licenses,267
IPA,Split-DB-Foss-Licenses,164
PDDL-1.0,Split-DB-Foss-Licenses,381
Helix.RealNetworks-EULA,Split-DB-Foss-Licenses,322
CC-BY-NC-SA-3.0,Split-DB-Foss-Licenses,461
bzip2-1.0.5,Split-DB-Foss-Licenses,22
ANTLR-PD,Split-DB-Foss-Licenses,18
FAL-1.3,Split-DB-Foss-Licenses,157
AGPL-3.0,Split-DB-Foss-Licenses,569
ECL-1.0,Split-DB-Foss-Licenses,19
Libpng,Split-DB-Foss-Licenses,92
HP,Split-DB-Foss-Licenses,58
Unicode-DFS-2016,Split-DB-Foss-Licenses,26
Oracle-Berkeley-DB,Split-DB-Foss-Licenses,38
OLDAP,Split-DB-Foss-Licenses,3
libpng-2.0,Split-DB-Foss-Licenses,24
Swift-exception,Split-DB-Foss-Licenses,2
CC-PDDC,Split-DB-Foss-Licenses,13
AFL-1.2,Split-DB-Foss-Licenses,78
LLVM-exception,Split-DB-Foss-Licenses,3
Unicode-TOU,Split-DB-Foss-Licenses,236
Wintertree,Split-DB-Foss-Licenses,126
Python-2.2.3,Split-DB-Foss-Licenses,252
Vixie,Split-DB-Foss-Licenses,12
gnuplot,Split-DB-Foss-Licenses,24
Wsuipa,Split-DB-Foss-Licenses,15
NLPL,Split-DB-Foss-Licenses,9
OLDAP-2.0.1,Split-DB-Foss-Licenses,37
BSD-Protection,Split-DB-Foss-Licenses,77
CMake,Split-DB-Foss-Licenses,8
CC-BY-SA-2.0,Split-DB-Foss-Licenses,399
See-file,Split-DB-Foss-Licenses,4
BlueOak-1.0.0,Split-DB-Foss-Licenses,25
APSL-1.2,Split-DB-Foss-Licenses,418
GPL-3.0+-with-bison-exception,Split-DB-Foss-Licenses,8
Unicode,Split-DB-Foss-Licenses,167
SAX-PD,Split-DB-Foss-Licenses,26
CC-BY-NC-2.5,Split-DB-Foss-Licenses,371
OLDAP-2.2.2,Split-DB-Foss-Licenses,49
FLTK-exception,Split-DB-Foss-Licenses,11
Borceux,Split-DB-Foss-Licenses,21
Glide,Split-DB-Foss-Licenses,187
BSD-4-Clause,Split-DB-Foss-Licenses,23
Python-2.6.5,Split-DB-Foss-Licenses,257
GPL-3.0-with-GCC-exception,Split-DB-Foss-Licenses,46
FSFUL,Split-DB-Foss-Licenses,2
CC-BY-NC-4.0,Split-DB-Foss-Licenses,561
MulanPSL-2.0,Split-DB-Foss-Licenses,146
FaCE,Split-DB-Foss-Licenses,29
WXwindows,Split-DB-Foss-Licenses,20
eCos-2.0,Split-DB-Foss-Licenses,17
M+,Split-DB-Foss-Licenses,50
Xnet,Split-DB-Foss-Licenses,12
EPL-2.0,Split-DB-Foss-Licenses,211
AFL-3.0,Split-DB-Foss-Licenses,198
Spencer-99,Split-DB-Foss-Licenses,12
Aptana-1.0,Split-DB-Foss-Licenses,113
Mup,Split-DB-Foss-Licenses,22
LIBGCJ,Split-DB-Foss-Licenses,18
MS-PL,Split-DB-Foss-Licenses,53
Autoconf-exception-2.0,Split-DB-Foss-Licenses,25
OPL,Split-DB-Foss-Licenses,117
Mibble,Split-DB-Foss-Licenses,66
Mindterm,Split-DB-Foss-Licenses,262
VSL-1.0,Split-DB-Foss-Licenses,35
CC-BY-ND-3.0,Split-DB-Foss-Licenses,370
ZPL,Split-DB-Foss-Licenses,3
OSET-PL-2.1,Split-DB-Foss-Licenses,396
SSPL-1.0,Split-DB-Foss-Licenses,457
Aladdin,Split-DB-Foss-Licenses,187
ClearSilver,Split-DB-Foss-Licenses,5
CERN-OHL-W-2.0,Split-DB-Foss-Licenses,138
OFL-1.1,Split-DB-Foss-Licenses,50
MetroLink-1.0,Split-DB-Foss-Licenses,141
EDL-1.0,Split-DB-Foss-Licenses,17
OLDAP-1.1,Split-DB-Foss-Licenses,93
BSD-2-Clause-Views,Split-DB-Foss-Licenses,13
Tapjoy,Split-DB-Foss-Licenses,204
OSL-1.1,Split-DB-Foss-Licenses,211
Migemo,Split-DB-Foss-Licenses,21
Terracotta,Split-DB-Foss-Licenses,695
Hippocratic-2.1,Split-DB-Foss-Licenses,110
